# service [domain];url;validate;service_caption;host_caption [service]
Google-dns-test;8.8.8.8:53;tcp;;
fonbet11_com;https://bets.fonbet11.com/test_object.js;http;;
fonbet11_com;https://live.fonbet11.com/test_object.js;http;;
fonbet11_com;https://toto.fonbet11.com/test_object.js;http;;
fonbet11_com;https://racing.fonbet11.com/test_object.js;http;;
fonbet11_com;https://fivelevel.fonbet11.com/test_object.js;http;;
fonbet11_com;https://virtualsports.fonbet11.com/test_object.js;http;;
fonbet11_com;https://toto-info.fonbet11.com/test_object.js;http;;
fonbet11_com;https://games.fonbet11.com/test_object.js;http;;
#fbla;https://fbla01-01.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla01-01
#fbla;https://fbla01-02.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla01-02
#fbla;https://fbla01-03.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla01-03
#fbla;https://fbla01-04.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla01-04
#fbla;https://fbla01-05.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla01-05
#fbla;https://fbla01-06.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla01-06
#fbla;https://fbla01-07.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla01-07
#fbla;https://fbla01-08.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla01-08
#fbla;https://fbla01-09.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla01-09
#fbla;https://fbla01-10.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla01-10
#fbla;https://fbla02-01.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla02-01
#fbla;https://fbla02-02.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla02-02
#fbla;https://fbla02-03.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla02-03
#fbla;https://fbla02-04.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla02-04
#fbla;https://fbla02-05.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla02-05
#fbla;https://fbla02-06.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla02-06
#fbla;https://fbla02-07.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla02-07
#fbla;https://fbla02-08.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla02-08
#fbla;https://fbla02-09.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla02-09
#fbla;https://fbla02-10.fbwebdn.net/servertime;http/json;LineAgent сервер;fbla02-10
#fbca;188.42.196.86:8078;tcp;ClienAgent server;fbca01-01
#fbca;188.42.196.238:8078;tcp;ClienAgent server;fbca01-02
#fbca;188.42.196.239:8078;tcp;ClienAgent server;fbca01-03
#fbca;188.42.196.240:8078;tcp;ClienAgent server;fbca01-04
#fbca;188.42.196.241:8078;tcp;ClienAgent server;fbca01-05
#fbca;188.42.196.242:8078;tcp;ClienAgent server;fbca01-06
#fbca;188.42.196.243:8078;tcp;ClienAgent server;fbca01-07
#fbca;188.42.196.244:8078;tcp;ClienAgent server;fbca01-08
#fbca;188.42.196.245:8078;tcp;ClienAgent server;fbca01-09
#fbca;188.42.196.246:8078;tcp;ClienAgent server;fbca01-10
android_client_proxy_list;http://androiddevdata.github.io/psipl/an.json;http/json/iplist;Домен для списков прокси;
cipl_ios;e2bf18fc048276077900.xyz/cipl/test_object.js;http;Домен для списков прокси;fbios17
cipl_ios;d4dbded416bd1af9b84b.xyz/cipl/test_object.js;http;Домен для списков прокси;fbios18
cipl_ios;fa45696947feba801d65.xyz/cipl/test_object.js;http;Домен для списков прокси;fbios19
fbls01;188.42.196.5/cipl/test_object.js;http;Домен для списков прокси;fbls_year_2016_ios
#fbls01;188.42.196.88/cipl/test_object.js;http;Домен для списков прокси;fbls_month_201607_ios
fbls01;188.42.196.89/cipl/test_object.js;http;Домен для списков прокси;fbls_month_201607_wc
fbls01;188.42.196.90/cipl/test_object.js;http;Домен для списков прокси;fbls_reserv
fbls01;188.42.196.122/cipl/test_object.js;http;Домен для списков прокси;fbls_day_201607_ios
#fbls01;188.42.196.123/cipl/test_object.js;http;Домен для списков прокси;fbls_day_201607_wc
fbls01;188.42.196.124/cipl/test_object.js;http;Домен для списков прокси;andr ban 20160729
ios_client_proxy_list;http://fbdevdata.github.io/psipl/mps_v2.json;http/json/iplist;Домен для списков прокси;
jme_client_proxy_list;http://fbdevdata.github.io/psipl/jme.list;http/iplist;Домен для списков прокси;
jme_client_proxy_list;https://jmedevdata.github.io/psipl/jme.list;http/iplist;Домен для списков прокси;
devtest;https://js.dvtfb.com/serverTime;http/json;;devtest-js
fbps01;https://185.82.210.231:9444/serverTime;http/json;;
fbps01;https://185.82.210.232:9444/serverTime;http/json;;
fbps01;https://188.42.137.188:9444/serverTime;http/json;;
fbps01;https://185.82.210.236:9444/serverTime;http/json;;
fbps31 ;https://95.211.203.115:9444/serverTime;http/json;;
fbps31 ;https://95.211.203.117:9444/serverTime;http/json;;
fbps32;https://91.109.22.133:9444/serverTime;http/json;;
fbps33;https://144.76.160.227:9444/serverTime;http/json;;
fbps33;https://144.76.160.228:9444/serverTime;http/json;;
xen_app;https://xa.fbsvc.bz/Citrix/XenApp/media/IcaComboAll.ico;http;;xen_app_lv
xen_app;https://grs-xa.fbsvc.bz/Citrix/XenApp/media/IcaComboAll.ico;http;;xen_app_grs
xen_app;https://dvt-xa.fbsvc.bz/Citrix/XenApp/media/IcaComboAll.ico;http;;xen_app_dvt
xen_app;https://cor-xa.fbsvc.bz/Citrix/XenApp/media/IcaComboAll.ico;http;;xen_app_cor
xen_app;https://bkfon-xa.fbsvc.bz/Citrix/XenApp/media/IcaComboAll.ico;http;;xen_app_bkfon
xen_app;https://cuo-xa.fbsvc.bz/Citrix/XenApp/media/IcaComboAll.ico;http;;xen_app_cuo
#fonbet8_vip;http://fonbet8.vip/test_object.js;http;;
#fonbet8_vip;https://m.fonbet8.vip/favicons/manifest.json;http/json;;
#fonbet8_vip;http://www.fonbet8.vip/test_object.js;http;;
#fonbet8_vip;https://account.fonbet8.vip/MyAccount/test_object.js;http;;
#fonbet8_vip;http://results.fonbet8.vip/test_object.js;http;;
#fonbet8_vip;http://stat.fonbet8.vip/test_object.js;http;;
#fonbet8_vip;https://bets.fonbet8.vip/test_object.js;http;;
#fonbet8_vip;https://live.fonbet8.vip/test_object.js;http;;
#fonbet8_vip;https://toto.fonbet8.vip/test_object.js;http;;
#fonbet8_vip;https://racing.fonbet8.vip/test_object.js;http;;
#fonbet8_vip;https://fivelevel.fonbet8.vip/test_object.js;http;;
#fonbet8_vip;https://virtualsports.fonbet8.vip/test_object.js;http;;
#fonbet8_vip;https://toto-info.fonbet8.vip/test_object.js;http;;
#fonbet8_vip;https://games.fonbet8.vip/test_object.js;http;;
fonbet9_vip;http://fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://m.fonbet9.vip/favicons/manifest.json;http/json;;
fonbet9_vip;http://www.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://account.fonbet9.vip/MyAccount/test_object.js;http;;
fonbet9_vip;http://results.fonbet9.vip/test_object.js;http;;
fonbet9_vip;http://stat.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://bets.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://live.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://toto.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://racing.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://fivelevel.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://virtualsports.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://toto-info.fonbet9.vip/test_object.js;http;;
fonbet9_vip;https://games.fonbet9.vip/test_object.js;http;;
#fonbet10_vip;http://fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://m.fonbet10.vip/favicons/manifest.json;http/json;;
#fonbet10_vip;http://www.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://account.fonbet10.vip/MyAccount/test_object.js;http;;
#fonbet10_vip;http://results.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;http://stat.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://bets.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://live.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://toto.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://racing.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://fivelevel.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://virtualsports.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://toto-info.fonbet10.vip/test_object.js;http;;
#fonbet10_vip;https://games.fonbet10.vip/test_object.js;http;;
fbls_banned;188.42.196.97/cipl/test_object.js;http;;maybe banned - 188.42.196.97
fbls_banned;188.42.196.98/cipl/test_object.js;http;;maybe banned - 188.42.196.98
fbls_banned;188.42.196.99/cipl/test_object.js;http;;maybe banned - 188.42.196.99
fbls_banned;188.42.196.100/cipl/test_object.js;http;;maybe banned - 188.42.196.100
fbls_banned;188.42.196.101/cipl/test_object.js;http;;maybe banned - 188.42.196.101
fbls_banned;188.42.196.102/cipl/test_object.js;http;;maybe banned - 188.42.196.102
fbls_banned;188.42.196.103/cipl/test_object.js;http;;maybe banned - 188.42.196.103
fbls_banned;188.42.196.104/cipl/test_object.js;http;;maybe banned - 188.42.196.104
fbls_banned;188.42.196.105/cipl/test_object.js;http;;maybe banned - 188.42.196.105
fbls_banned;188.42.196.106/cipl/test_object.js;http;;maybe banned - 188.42.196.106
fbls_banned;188.42.196.107/cipl/test_object.js;http;;maybe banned - 188.42.196.107
fbls_banned;188.42.196.108/cipl/test_object.js;http;;maybe banned - 188.42.196.108
fbls_banned;188.42.196.109/cipl/test_object.js;http;;maybe banned - 188.42.196.109
fbls_banned;188.42.196.110/cipl/test_object.js;http;;maybe banned - 188.42.196.110
fbls_banned;188.42.196.111/cipl/test_object.js;http;;maybe banned - 188.42.196.111
fbls_banned;188.42.196.112/cipl/test_object.js;http;;maybe banned - 188.42.196.112
fbls_banned;188.42.196.113/cipl/test_object.js;http;;maybe banned - 188.42.196.113
fbls_banned;188.42.196.114/cipl/test_object.js;http;;maybe banned - 188.42.196.114
fbls_banned;188.42.196.139/cipl/test_object.js;http;;maybe banned - 188.42.196.139
fbls_banned;188.42.196.140/cipl/test_object.js;http;;maybe banned - 188.42.196.140
fbls_banned;188.42.196.141/cipl/test_object.js;http;;maybe banned - 188.42.196.141
fbls_banned;188.42.196.142/cipl/test_object.js;http;;maybe banned - 188.42.196.142
fbls_banned;188.42.196.143/cipl/test_object.js;http;;maybe banned - 188.42.196.143
fbls_banned;188.42.196.144/cipl/test_object.js;http;;maybe banned - 188.42.196.144
fbls_banned;188.42.196.145/cipl/test_object.js;http;;maybe banned - 188.42.196.145
fbls_banned;188.42.196.48/cipl/test_object.js;http;;maybe banned - 188.42.196.48
fbls_banned;188.42.196.49/cipl/test_object.js;http;;maybe banned - 188.42.196.49
fbls_banned;188.42.196.50/cipl/test_object.js;http;;maybe banned - 188.42.196.50
fbls_banned;188.42.196.51/cipl/test_object.js;http;;maybe banned - 188.42.196.51
fbls_banned;188.42.196.52/cipl/test_object.js;http;;maybe banned - 188.42.196.52
fbls_banned;188.42.196.53/cipl/test_object.js;http;;maybe banned - 188.42.196.53
fbls_banned;188.42.196.54/cipl/test_object.js;http;;maybe banned - 188.42.196.54
fbls_banned;188.42.196.55/cipl/test_object.js;http;;maybe banned - 188.42.196.55
fbls_banned;188.42.196.56/cipl/test_object.js;http;;maybe banned - 188.42.196.56
fbls_banned;188.42.196.57/cipl/test_object.js;http;;maybe banned - 188.42.196.57
fbls_banned;188.42.196.58/cipl/test_object.js;http;;maybe banned - 188.42.196.58
fbls_banned;188.42.196.59/cipl/test_object.js;http;;maybe banned - 188.42.196.59
fbls_banned;188.42.196.60/cipl/test_object.js;http;;maybe banned - 188.42.196.60
fbls_banned;188.42.196.61/cipl/test_object.js;http;;maybe banned - 188.42.196.61
fbls_banned;188.42.196.62/cipl/test_object.js;http;;maybe banned - 188.42.196.62
fbls_banned;188.42.196.63/cipl/test_object.js;http;;maybe banned - 188.42.196.63
fbls_banned;188.42.196.175/cipl/test_object.js;http;;maybe banned - 188.42.196.175
fbls_banned;188.42.196.176/cipl/test_object.js;http;;maybe banned - 188.42.196.176
fbls_banned;188.42.196.177/cipl/test_object.js;http;;maybe banned - 188.42.196.177
fbls_banned;188.42.196.178/cipl/test_object.js;http;;maybe banned - 188.42.196.178
fbls_banned;188.42.196.87/cipl/test_object.js;http;;maybe banned - 188.42.196.87
fbls_banned;188.42.196.88/cipl/test_object.js;http;;maybe banned - 188.42.196.88
fbls_banned;188.42.196.89/cipl/test_object.js;http;;maybe banned - 188.42.196.89
fbls_banned;188.42.196.90/cipl/test_object.js;http;;maybe banned - 188.42.196.90
fbls_banned;188.42.196.91/cipl/test_object.js;http;;maybe banned - 188.42.196.91
fbls_banned;188.42.196.121/cipl/test_object.js;http;;maybe banned - 188.42.196.121
fbls_banned;188.42.196.122/cipl/test_object.js;http;;maybe banned - 188.42.196.122
fbls_banned;188.42.196.123/cipl/test_object.js;http;;maybe banned - 188.42.196.123
fbls_banned;188.42.196.124/cipl/test_object.js;http;;maybe banned - 188.42.196.124
fbls_banned;188.42.196.125/cipl/test_object.js;http;;maybe banned - 188.42.196.125
fbls_banned;188.42.196.126/cipl/test_object.js;http;;maybe banned - 188.42.196.126
fbls_banned;188.42.196.4/cipl/test_object.js;http;;maybe banned - 188.42.196.4
fbls_banned;188.42.196.5/cipl/test_object.js;http;;maybe banned - 188.42.196.5
fbls_banned;188.42.196.6/cipl/test_object.js;http;;maybe banned - 188.42.196.6
fbls_banned;188.42.196.92/cipl/test_object.js;http;;maybe banned - 188.42.196.92
fbls_banned;188.42.196.93/cipl/test_object.js;http;;maybe banned - 188.42.196.93
fbls_banned;188.42.196.94/cipl/test_object.js;http;;maybe banned - 188.42.196.94
fbls_banned;188.42.196.95/cipl/test_object.js;http;;maybe banned - 188.42.196.95
fbls_banned;188.42.196.7/cipl/test_object.js;http;;maybe banned - 188.42.196.7
